BIC;COD;COD2;NOM
BDEPESM1XXX;3;3;BANCO DE DEPÓSITOS, S.A.
BANDESSSXXX;4;4;BANCO DE ANDALUCÍA, S.A.
BSABESBBXXX;8;8;BANCO ATLÁNTICO, S.A.
BBVAESMMXXX;10;10;BANCO BILBAO
SLBKESBBXXX;13;13;BANCO NATWEST ESPAÑA, S.A.
CATAESBBXXX;15;15;BANCA CATALANA, S.A.
CENTESMM;16;16;BANCO CENTRAL HISPANOAMERICANO
DEUTESBBXXX;19;19;DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA
BCIOESMMXXX;20;20;BANCO DE COMERCIO
BALEES22XXX;24;24;BANCO DE CRÉDITO BALEAR, S.A.
CRLEESMMXXX;29;29;BANCO COMERCIAL
ESPCESMMXXX;30;30;BANCO ESPAÑOL DE CRÉDITO, S.A.
ETCHES2GXXX;31;31;BANCO ETCHEVERRÍA, S.A.
SABNESMMXXX;36;36;SANTANDER INVESTMENT, S.A.
BGUIES22XXX;42;42;BANCO GUIPUZCOANO, S.A.
GALEES2GXXX;46;46;BANCO GALLEGO, S.A.
BSCHESMMXXX;49;49;BANCO SANTANDER, S.A.
BVADESMMXXX;57;57;BANCO DEPOSITARIO BBV, S.A.
BNPAESMMXXX;58;58;B.N.P. ESPAÑA, S.A.
MADRESMMXXX;59;59;BANCO DE MADRID
BMARES2MXXX;61;61;BANCA MARCH, S.A.
BARCESMMXXX;65;65;BARCLAYS BANK S.A.E.
PSTRESMMXXX;72;72;BANCO PASTOR, S.A.
OPENESMMXXX;73;73;OPEN BANK
POPUESMMXXX;75;75;BANCO POPULAR ESPAÑOL, S.A.
BAPUES22XXX;78;78;BANCA PUEYO, S.A.
BSABESBBXXX;81;81;BANCO DE SABADELL, S.A.
RENBESMMXXX;83;83;BANCO ALICANTINO DE COMERCIO, S.A.
NORTESMMXXX;86;86;BANCO BANIF DE GESTIÓN PRIVADA, S.A.
VALEESVVXXX;93;93;BANCO DE VALENCIA, S.A.
BVALESMMXXX;94;94;RBC DEXIA INVESTOR SERVICES ESPAÑA, S.A.
AHCRESVVXXX;99;99;BANCO DE CRÉDITO Y AHORRO, S.A.
LOYDESMMXXX;106;106;LLOYDS BANK (BLSA) LIMITED
BNLIESM1XXX;107;107;BANCA NAZIONALE DEL LAVORO, S.P.A.
SOGEESMMXXX;108;108;SOCIETE GENERALE BANQUE EN SPAGNE
INBBESM1XXX;113;113;BANCO INDUSTRIAL DE BILBAO, S.A.
OCBAESM1XXX;121;121;BANCO OCCIDENTAL, S.A.
CITIES2XXXX;122;122;CITIBANK ESPAÑA, S.A.
BAOFESM1XXX;125;125;BANCOFAR, S.A.
BKBKESMMXXX;128;128;BANKINTER, S.A.
INALESM1XXX;129;129;BANCO INDUSTRIAL DE CATALUÑA, S.A.
CGDIESMMXXX;130;130;BANCO LUSO ESPAÑOL, S.A.
BESMESMMXXX;131;131;BANCO ESPIRITO SANTO, S.A.
PRNEESM1XXX;132;132;BANCO DE PROMOCIÓN DE NEGOCIOS, S.A.
MIKBESB1XXX;133;133;BANCO DE EUROPA, S.A.
AREBESMMXXX;136;136;BANCO ÁRABE ESPAÑOL, S.A.
BKOAES22XXX;138;138;BANKOA, S.A.
PARBESMXXXX;144;144;BANQUE PARIBAS
DEUTESM1XXX;145;145;DEUTSCHE BANK, A.G.
BNPAESMSXXX;149;149;BANQUE NATIONALE DE PARIS
CHASESM3XXX;151;151;CHEMICAL BANK
PROAESMMXXX;211;211;SOCIEDAD ESPAÑOLA DE BANCA DE NEGOCIOS, S.A.
POHIESMMXXX;216;216;BANCO POPULAR HIPOTECARIO, S.A.
HLFXESMMXXX;217;217;BANCO HALIFAX HISPANIA
